Player,YEAR,RUNS
Virat Kohli,2008,165
Virat Kohli,2009,246
Virat Kohli,2010,307
Virat Kohli,2011,557
Virat Kohli,2012,364
Virat Kohli,2013,634
Virat Kohli,2014,359
Virat Kohli,2015,505
Virat Kohli,2016,973
Virat Kohli,2017,308
Virat Kohli,2018,530
Virat Kohli,2019,464
Virat Kohli,2020,466
Virat Kohli,2021,405
Virat Kohli,2022,341
Virat Kohli,2023,639
Shikhar Dhawan,2008,340
Shikhar Dhawan,2009,40
Shikhar Dhawan,2010,191
Shikhar Dhawan,2011,400
Shikhar Dhawan,2012,569
Shikhar Dhawan,2013,311
Shikhar Dhawan,2014,377
Shikhar Dhawan,2015,353
Shikhar Dhawan,2016,501
Shikhar Dhawan,2017,479
Shikhar Dhawan,2018,497
Shikhar Dhawan,2019,521
Shikhar Dhawan,2020,618
Shikhar Dhawan,2021,587
Shikhar Dhawan,2022,460
Shikhar Dhawan,2023,373
David Warner,2009,163
David Warner,2010,282
David Warner,2011,324
David Warner,2012,256
David Warner,2013,410
David Warner,2014,528
David Warner,2015,562
David Warner,2016,848
David Warner,2017,641
David Warner,2019,692
David Warner,2020,548
David Warner,2021,195
David Warner,2022,432
David Warner,2023,516
Rohit Sharma,2008,404
Rohit Sharma,2009,362
Rohit Sharma,2010,404
Rohit Sharma,2011,372
Rohit Sharma,2012,433
Rohit Sharma,2013,538
Rohit Sharma,2014,390
Rohit Sharma,2015,482
Rohit Sharma,2016,489
Rohit Sharma,2017,333
Rohit Sharma,2018,286
Rohit Sharma,2019,405
Rohit Sharma,2020,332
Rohit Sharma,2021,381
Rohit Sharma,2022,268
Rohit Sharma,2023,332
Suresh Raina,2008,421
Suresh Raina,2009,434
Suresh Raina,2010,520
Suresh Raina,2011,438
Suresh Raina,2012,441
Suresh Raina,2013,548
Suresh Raina,2014,523
Suresh Raina,2015,374
Suresh Raina,2016,399
Suresh Raina,2017,442
Suresh Raina,2018,445
Suresh Raina,2019,383
Suresh Raina,2021,160
Suresh Raina,2022,0
Suresh Raina,2023,0
AB DeVilliers,2008,95
AB DeVilliers,2009,465
AB DeVilliers,2010,111
AB DeVilliers,2011,312
AB DeVilliers,2012,319
AB DeVilliers,2013,360
AB DeVilliers,2014,395
AB DeVilliers,2015,513
AB DeVilliers,2016,687
AB DeVilliers,2017,216
AB DeVilliers,2018,480
AB DeVilliers,2019,442
AB DeVilliers,2020,454
AB DeVilliers,2021,313
AB DeVilliers,2022,0
AB DeVilliers,2023,0
MS Dhoni,2008,414
MS Dhoni,2009,332
MS Dhoni,2010,287
MS Dhoni,2011,392
MS Dhoni,2012,358
MS Dhoni,2013,461
MS Dhoni,2014,371
MS Dhoni,2015,372
MS Dhoni,2016,284
MS Dhoni,2017,290
MS Dhoni,2018,455
MS Dhoni,2019,416
MS Dhoni,2020,200
MS Dhoni,2021,114
MS Dhoni,2022,232
MS Dhoni,2023,104
Chris Gayle,2008,0
Chris Gayle,2009,171
Chris Gayle,2010,292
Chris Gayle,2011,608
Chris Gayle,2012,733
Chris Gayle,2013,708
Chris Gayle,2014,196
Chris Gayle,2015,491
Chris Gayle,2016,227
Chris Gayle,2017,200
Chris Gayle,2018,368
Chris Gayle,2019,490
Chris Gayle,2020,288
Chris Gayle,2021,193
Chris Gayle,2022,0
Chris Gayle,2023,0
Robin Uthappa,2008,320
Robin Uthappa,2009,175
Robin Uthappa,2010,374
Robin Uthappa,2011,264
Robin Uthappa,2012,405
Robin Uthappa,2013,434
Robin Uthappa,2014,660
Robin Uthappa,2015,364
Robin Uthappa,2016,394
Robin Uthappa,2017,388
Robin Uthappa,2018,351
Robin Uthappa,2019,282
Robin Uthappa,2020,196
Robin Uthappa,2021,115
Robin Uthappa,2022,230
Robin Uthappa,2023,0
Dinesh Karthik,2008,145
Dinesh Karthik,2009,288
Dinesh Karthik,2010,278
Dinesh Karthik,2011,282
Dinesh Karthik,2012,238
Dinesh Karthik,2013,510
Dinesh Karthik,2014,325
Dinesh Karthik,2015,141
Dinesh Karthik,2016,335
Dinesh Karthik,2017,361
Dinesh Karthik,2018,498
Dinesh Karthik,2019,253
Dinesh Karthik,2020,169
Dinesh Karthik,2021,223
Dinesh Karthik,2022,330
Dinesh Karthik,2023,140
